Jugadores;Posicion;Edad;Altura;Pie;Fichado;Equipo Anterior;Valor de mercado;Temporada;Club
Nicolás Gianni;Centrocampista;25;1,75;derecho;01/07/2000;Inferiores Argentinos Juniors;800000;2008;Argentinos Juniors
Maximiliano Sola;Defensa;22;1,8;izquierdo;-;;-;2008;Argentinos Juniors
Nicolás Navarro;Portero;23;1,9;derecho;24/07/2010;SSC Nápoles;2000000;2008;Argentinos Juniors
Juan Carrera;Portero;27;1,91;derecho;01/01/2005;inactivo;800000;2008;Argentinos Juniors
Sebastián Torrico;Portero;28;1,86;derecho;01/01/2009;CD Godoy Cruz Antonio Tomba;250000;2008;Argentinos Juniors
Diego Morales;Portero;25;1,84;derecho;01/01/2002;Inferiores Argentinos Juniors;75000;2008;Argentinos Juniors
Andrés Scotti;Defensa central;32;1,84;derecho;11/01/2007;Libre;2250000;2008;Argentinos Juniors
Matías Caruzzo;Defensa central;23;1,85;derecho;23/01/2020;CA Rosario Central;1600000;2008;Argentinos Juniors
Juan Sabia;Defensa central;26;1,76;derecho;01/08/2014;Libre;975000;2008;Argentinos Juniors
Leandro Fleitas;Defensa central;24;1,8;derecho;01/01/2003;Inferiores Argentinos Juniors;925000;2008;Argentinos Juniors
Facundo Quiroga;Defensa central;23;1,84;izquierdo;01/07/2004;Inferiores Argentinos Juniors;400000;2008;Argentinos Juniors
Ignacio Canuto;Defensa central;22;1,82;derecho;01/01/2008;Club Atlético Unión;100000;2008;Argentinos Juniors
Diego Ianiero;Defensa central;21;1,85;derecho;01/07/2004;Inferiores Argentinos Juniors;80000;2008;Argentinos Juniors
Álvaro Pereira;Lateral izquierdo;22;1,8;izquierdo;01/07/2007;Quilmes Atlético Club;2900000;2008;Argentinos Juniors
Sergio Escudero;Lateral izquierdo;25;1,93;izquierdo;01/01/2011;Sport Club Corinthians Paulista;1830000;2008;Argentinos Juniors
Bruno Urribarri;Lateral izquierdo;21;1,76;izquierdo;01/01/2008;CA Boca Juniors;1000000;2008;Argentinos Juniors
Ariel Seltzer;Lateral izquierdo;27;1,66;izquierdo;01/01/2001;Inferiores Argentinos Juniors;500000;2008;Argentinos Juniors
Sebastián Brunet;Lateral izquierdo;24;1,74;izquierdo;01/01/2005;Inferiores Argentinos Juniors;-;2008;Argentinos Juniors
Pablo Barzola;Lateral derecho;24;1,78;derecho;01/07/2011;Libre;1850000;2008;Argentinos Juniors
Juan Fernández;Lateral derecho;28;-;-;01/07/2008;Libre;1000000;2008;Argentinos Juniors
Gonzalo Prósperi;Lateral derecho;22;1,79;derecho;01/01/2004;Inferiores Argentinos Juniors;600000;2008;Argentinos Juniors
Néstor Ortigoza;Pivote;23;1,8;derecho;01/07/2004;Inferiores Argentinos Juniors;1950000;2008;Argentinos Juniors
Juan Mercier;Pivote;28;1,85;derecho;01/07/2007;CA Platense;700000;2008;Argentinos Juniors
Gabriel Peñalba;Mediocentro;23;1,94;derecho;01/01/2012;FC Lorient;2600000;2008;Argentinos Juniors
Roberto Battión;Mediocentro;26;1,9;derecho;01/07/2007;Club Atlético Unión;2100000;2008;Argentinos Juniors
Lionel Coudannes;Mediocentro;23;1,75;derecho;01/07/2005;Inferiores Argentinos Juniors;325000;2008;Argentinos Juniors
Mauro Bogado;Mediocentro;23;1,7;derecho;01/01/2004;Inferiores Argentinos Juniors;200000;2008;Argentinos Juniors
Franco Quiroga;Mediocentro;21;1,77;derecho;01/07/2008;Nueva Chicago;-;2008;Argentinos Juniors
Martín Cabrera;Interior derecho;28;1,7;derecho;01/07/2007;Club Olimpo;1200000;2008;Argentinos Juniors
Andrés Romero;Interior derecho;18;1,78;derecho;01/07/2008;Inferiores Argentinos Juniors;-;2008;Argentinos Juniors
Carlos Recalde;Interior izquierdo;24;1,76;derecho;01/08/2008;CA San Martín San Juan;1600000;2008;Argentinos Juniors
Daniel Romero;Interior izquierdo;27;1,85;izquierdo;01/07/2007;Club Sportivo Ben Hur;650000;2008;Argentinos Juniors
Rodrigo Díaz;Mediocentro ofensivo;26;1,79;derecho;01/07/2008;Libre;1900000;2008;Argentinos Juniors
Milovan Mirosevic;Mediocentro ofensivo;28;1,8;derecho;15/01/2008;Libre;1000000;2008;Argentinos Juniors
Carlos Santibáñez;Mediocentro ofensivo;21;1,67;izquierdo;01/01/2006;Inferiores Argentinos Juniors;450000;2008;Argentinos Juniors
Rafael Viotti;Extremo izquierdo;20;1,64;derecho;01/07/2006;Club Atlético San Telmo;100000;2008;Argentinos Juniors
Gonzalo Abán;Extremo derecho;21;1,79;derecho;01/07/2006;Libre35 mil €;1850000;2008;Argentinos Juniors
Marcos Ovejero;Extremo derecho;21;1,7;derecho;-;;-;2008;Argentinos Juniors
Gabriel Hauche;Delantero centro;21;1,69;derecho;02/01/2019;Millonarios FC;3100000;2008;Argentinos Juniors
Alejandro Delorte;Delantero centro;30;1,99;ambidiestro;01/07/2007;Libre;1950000;2008;Argentinos Juniors
Nicolás Pavlovich;Delantero centro;30;1,87;ambidiestro;01/07/2008;Libre;1550000;2008;Argentinos Juniors
Franco Niell;Delantero centro;25;1,63;derecho;01/01/2004;Inferiores Argentinos Juniors;1030000;2008;Argentinos Juniors
Gabriel Pérez Tarifa;Delantero centro;21;1,86;derecho;01/07/2007;Inferiores Argentinos Juniors;550000;2008;Argentinos Juniors
Roberto Saucedo;Delantero centro;26;1,84;;01/07/2007;Indios de Ciudad Juárez - 2011;500000;2008;Argentinos Juniors
Mariano Martínez;Delantero centro;29;1,8;derecho;01/07/2008;Club Olimpo;450000;2008;Argentinos Juniors
Emmanuel Gigliotti;Delantero centro;21;1,87;derecho;01/06/2008;Inferiores Argentinos Juniors;-;2008;Argentinos Juniors
Óscar Alegre;Delantero centro;22;1,76;;-;;-;2008;Argentinos Juniors
Nicolás Gianni;Centrocampista;26;1,75;derecho;01/07/2000;Inferiores Argentinos Juniors;600000;2009;Argentinos Juniors
Maximiliano Sola;Defensa;23;1,8;izquierdo;-;;25000;2009;Argentinos Juniors
Sebastián Torrico;Portero;29;1,86;derecho;01/01/2009;CD Godoy Cruz Antonio Tomba;1100000;2009;Argentinos Juniors
Juan Carrera;Portero;28;1,91;derecho;01/01/2005;inactivo;250000;2009;Argentinos Juniors
Diego Morales;Portero;26;1,84;derecho;01/01/2002;Inferiores Argentinos Juniors;75000;2009;Argentinos Juniors
Diego Quirós;Portero;20;1,79;derecho;-;;-;2009;Argentinos Juniors
Matías Caruzzo;Defensa central;24;1,85;derecho;23/01/2020;CA Rosario Central;2000000;2009;Argentinos Juniors
Andrés Scotti;Defensa central;33;1,84;derecho;11/01/2007;Libre;1900000;2009;Argentinos Juniors
Juan Sabia;Defensa central;27;1,76;derecho;01/08/2014;Libre;1400000;2009;Argentinos Juniors
Ignacio Canuto;Defensa central;23;1,82;derecho;01/01/2008;Club Atlético Unión;1000000;2009;Argentinos Juniors
Leandro Fleitas;Defensa central;25;1,8;derecho;01/01/2003;Inferiores Argentinos Juniors;600000;2009;Argentinos Juniors
Facundo Quiroga;Defensa central;24;1,84;izquierdo;01/07/2004;Inferiores Argentinos Juniors;600000;2009;Argentinos Juniors
Nicolás Berardo;Defensa central;18;1,81;izquierdo;01/07/2010;Inferiores Argentinos Juniors;-;2009;Argentinos Juniors
Sergio Escudero;Lateral izquierdo;26;1,93;izquierdo;01/01/2011;Sport Club Corinthians Paulista;1800000;2009;Argentinos Juniors
Derlis Cardozo;Lateral izquierdo;28;1,72;izquierdo;01/01/2009;Club Olimpia Asunción;700000;2009;Argentinos Juniors
Gonzalo Prósperi;Lateral derecho;23;1,79;derecho;01/01/2004;Inferiores Argentinos Juniors;1400000;2009;Argentinos Juniors
Juan Fernández;Lateral derecho;29;-;-;01/07/2008;Libre;800000;2009;Argentinos Juniors
Pedro Balbuena;Lateral derecho;20;-;;-;;-;2009;Argentinos Juniors
Néstor Ortigoza;Pivote;24;1,8;derecho;01/07/2004;Inferiores Argentinos Juniors;2300000;2009;Argentinos Juniors
Juan Mercier;Pivote;29;1,85;derecho;01/07/2007;CA Platense;1700000;2009;Argentinos Juniors
Gabriel Peñalba;Mediocentro;24;1,94;derecho;01/01/2012;FC Lorient;1800000;2009;Argentinos Juniors
Mauro Bogado;Mediocentro;24;1,7;derecho;01/01/2004;Inferiores Argentinos Juniors;900000;2009;Argentinos Juniors
Franco Quiroga;Mediocentro;22;1,77;derecho;01/07/2008;Nueva Chicago;700000;2009;Argentinos Juniors
Matías Córdoba;Mediocentro;24;1,76;derecho;01/01/2004;Inferiores Argentinos Juniors;300000;2009;Argentinos Juniors
Andrés Romero;Interior derecho;19;1,78;derecho;01/07/2008;Inferiores Argentinos Juniors;700000;2009;Argentinos Juniors
Martín Cabrera;Interior derecho;29;1,7;derecho;01/07/2007;Club Olimpo;500000;2009;Argentinos Juniors
Jonathan Páez;Interior derecho;22;1,8;derecho;-;;50000;2009;Argentinos Juniors
Facundo Alfonso;Interior derecho;21;1,7;derecho;-;;50000;2009;Argentinos Juniors
Fernando Aníbal Alarcón;Interior derecho;19;1,76;derecho;-;;25000;2009;Argentinos Juniors
Carlos Recalde;Interior izquierdo;25;1,76;derecho;01/08/2008;CA San Martín San Juan;1100000;2009;Argentinos Juniors
Juan Carlos Ojeda;Interior izquierdo;20;1,7;izquierdo;01/01/2009;Libre;250000;2009;Argentinos Juniors
Daniel Romero;Interior izquierdo;28;1,85;izquierdo;01/07/2007;Club Sportivo Ben Hur;150000;2009;Argentinos Juniors
Rodrigo Díaz;Mediocentro ofensivo;27;1,79;derecho;01/07/2008;Libre;1600000;2009;Argentinos Juniors
Carlos Santibáñez;Mediocentro ofensivo;22;1,67;izquierdo;01/01/2006;Inferiores Argentinos Juniors;250000;2009;Argentinos Juniors
Kevin Harbottle;Mediocentro ofensivo;19;1,65;izquierdo;-;;25000;2009;Argentinos Juniors
Rafael Viotti;Extremo izquierdo;21;1,64;derecho;01/07/2006;Club Atlético San Telmo;300000;2009;Argentinos Juniors
Gonzalo Abán;Extremo derecho;22;1,79;derecho;01/07/2006;Libre35 mil €;500000;2009;Argentinos Juniors
Ciro Rius;Extremo derecho;20;1,71;derecho;01/01/2009;Inferiores Argentinos Juniors;300000;2009;Argentinos Juniors
Gabriel Hauche;Delantero centro;22;1,69;derecho;02/01/2019;Millonarios FC;3000000;2009;Argentinos Juniors
Nicolás Pavlovich;Delantero centro;31;1,87;ambidiestro;01/07/2008;Libre;1100000;2009;Argentinos Juniors
Mariano Martínez;Delantero centro;30;1,8;derecho;01/07/2008;Club Olimpo;500000;2009;Argentinos Juniors
Gabriel Pérez Tarifa;Delantero centro;22;1,86;derecho;01/07/2007;Inferiores Argentinos Juniors;400000;2009;Argentinos Juniors
Hernán Salazar;Delantero centro;19;1,74;derecho;-;;75000;2009;Argentinos Juniors
Nicolás Gianni;Centrocampista;27;1,75;derecho;01/07/2000;Inferiores Argentinos Juniors;400000;2010;Argentinos Juniors
Matías Rotondi;Delantero;18;1,73;derecho;-;;25000;2010;Argentinos Juniors
Nicolás Peric;Portero;31;1,83;derecho;28/07/2009;CD Everton;800000;2010;Argentinos Juniors
Sebastián Torrico;Portero;30;1,86;derecho;01/01/2009;CD Godoy Cruz Antonio Tomba;600000;2010;Argentinos Juniors
Nicolás Navarro;Portero;25;1,9;derecho;24/07/2010;SSC Nápoles;500000;2010;Argentinos Juniors
Luis Ojeda;Portero;20;1,83;derecho;01/07/2011;Club Atlético Unión;300000;2010;Argentinos Juniors
